iter,v_fun_0,delta_q,norm_delta_q,acc_reward
2370000,2.9263503088866734,0.00017276598549373346,1.3387518302614725,-1335965
2380000,2.9242186302032254,0.0007116750614612852,1.29246995817996,-1341307
2390000,2.9230195449918264,-5.517410166165591e-05,1.369466498207433,-1346973
2400000,2.9264228925751623,-0.0004872069702728754,1.338799762436623,-1353016
2410000,2.9256498473550083,-0.0026345783264097875,1.3293237293189573,-1359044
2420000,2.924380369677578,0.014124406333861621,1.443114377052596,-1365232
2430000,2.9238760914609516,0.011644439811389894,1.2719872911598866,-1371061
2440000,2.9227491637266927,0.00037028583625377584,1.2479400920594665,-1376156
2450000,2.9231219286311463,0.012053039291612309,1.2197964244014923,-1381616
2460000,2.9234159419730665,0.0011120406758069273,1.412621137018031,-1387804
2470000,2.922454437066382,-0.0003714539474845965,1.4167828559148592,-1394098
2480000,2.9234837361930204,-0.0013147422165354636,1.2850327013118035,-1399381
2490000,2.92411263593045,0.013278494465014284,1.2705573240344423,-1405167
2500000,2.9241666994727957,-0.003367654606244857,1.2070346872753224,-1410614
2510000,2.92498087846996,0.00025269682137916375,1.2355463112224325,-1416534
2520000,2.9240359327998338,-0.0008540748415793896,1.3286010547401481,-1422131
2530000,2.925635373734809,0.023779897775407295,1.2964059566463548,-1428071
2540000,2.925767151598272,-0.000838856064377345,1.2257799400274567,-1433879
2550000,2.926183133995689,0.0003625897886805975,1.2335088773888245,-1439308
2560000,2.9247247466798445,-0.001896036871420815,1.2244054678728424,-1444724
2570000,2.9257574032695484,-0.0002513334974726675,1.2254380058435559,-1450168
2580000,2.9247603020415642,-0.0004942421394672385,1.247496798626094,-1455690
2590000,2.9247658997471495,-0.001572176979376618,1.2885841371460398,-1461838
2600000,2.924251612067604,0.002349811099802868,1.3884880958876427,-1467894
2610000,2.9252824292054385,-0.001112027269801621,1.117420633666656,-1473203
2620000,2.925350681986713,-0.0004230841150405581,1.249474812732331,-1478971
2630000,2.9273826390419355,-0.03409289610974561,1.2051705203358338,-1483987
2640000,2.9267433101361675,0.015629898016115525,1.2659666403567418,-1490193
2650000,2.9265233096215364,0.015504228430340569,1.2256285833164702,-1495632
2660000,2.9266051586763036,0.01026220305453606,1.1655959163741898,-1501542
2670000,2.9271567963309075,-0.001824843917122592,1.239624968939116,-1507478
2680000,2.929052120029436,-0.00120470840175547,1.1773202341338025,-1513140
2690000,2.9291407135664294,0.0021983925038544594,1.2458696490800707,-1518722
2700000,2.9279510668739297,-0.0001337187695769787,1.1600007394374139,-1524378
2710000,2.9267899705822895,-0.0011909858981799292,1.1525090233884603,-1529650
